filepath,x,y,z,undulation,roll,pitch,yaw
reference_views/00088.png,4020725.41,509028.31,4908927.04,47.7,0.0,0.0,0.0
reference_views/00089.png,4020706.47,508992.6,4908946.31,47.7,0.0,0.0,0.0
reference_views/00090.png,4020687.88,508956.28,4908964.77,47.7,0.0,0.0,0.0
reference_views/00091.png,4020670.02,508919.4,4908982.7,47.7,0.0,0.0,0.0
reference_views/00092.png,4020653.74,508882.02,4909001.14,47.7,0.0,0.0,0.0
reference_views/00093.png,4020637.87,508844.32,4909019.06,47.7,0.0,0.0,0.0
reference_views/00094.png,4020622.15,508805.9,4909035.83,47.7,0.0,0.0,0.0
reference_views/00095.png,4020606.81,508766.88,4909051.4,47.7,0.0,0.0,0.0
reference_views/00096.png,4020592.23,508727.56,4909066.6,47.7,0.0,0.0,0.0
reference_views/00097.png,4020578.03,508687.99,4909081.45,47.7,0.0,0.0,0.0
reference_views/00098.png,4020564.5,508648.15,4909096.19,47.7,0.0,0.0,0.0
reference_views/00099.png,4020551.49,508608.13,4909110.81,47.7,0.0,0.0,0.0
reference_views/00100.png,4020538.3,508567.9,4909124.96,47.7,0.0,0.0,0.0
reference_views/00101.png,4020524.75,508527.48,4909138.74,47.7,0.0,0.0,0.0
reference_views/00102.png,4020511.5,508486.98,4909153.11,47.7,0.0,0.0,0.0
reference_views/00103.png,4020498.5,508446.41,4909167.87,47.7,0.0,0.0,0.0
reference_views/00104.png,4020485.55,508405.59,4909182.31,47.7,0.0,0.0,0.0
reference_views/00105.png,4020473.17,508364.99,4909197.64,47.7,0.0,0.0,0.0
reference_views/00106.png,4020460.56,508324.35,4909212.67,47.7,0.0,0.0,0.0
reference_views/00107.png,4020447.51,508283.79,4909227.58,47.7,0.0,0.0,0.0
reference_views/00108.png,4020434.9,508243.21,4909242.79,47.7,0.0,0.0,0.0
reference_views/00109.png,4020422.74,508202.5,4909258.57,47.7,0.0,0.0,0.0
reference_views/00110.png,4020409.34,508161.93,4909273.64,47.7,0.0,0.0,0.0
reference_views/00111.png,4020395.26,508121.2,4909288.36,47.7,0.0,0.0,0.0
reference_views/00112.png,4020381.73,508080.67,4909303.85,47.7,0.0,0.0,0.0
reference_views/00113.png,4020367.78,508040.54,4909319.77,47.7,0.0,0.0,0.0
reference_views/00114.png,4020353.44,508000.53,4909335.57,47.7,0.0,0.0,0.0
reference_views/00115.png,4020339.06,507960.64,4909351.35,47.7,0.0,0.0,0.0
reference_views/00116.png,4020324.65,507920.81,4909367.04,47.7,0.0,0.0,0.0
reference_views/00117.png,4020310.28,507881.18,4909383.28,47.7,0.0,0.0,0.0
reference_views/00118.png,4020295.62,507841.76,4909399.78,47.7,0.0,0.0,0.0
reference_views/00119.png,4020280.68,507802.56,4909416.68,47.7,0.0,0.0,0.0
reference_views/00120.png,4020265.6,507763.61,4909433.75,47.7,0.0,0.0,0.0
reference_views/00121.png,4020250.63,507724.83,4909450.96,47.7,0.0,0.0,0.0
reference_views/00122.png,4020235.32,507686.23,4909468.22,47.7,0.0,0.0,0.0
reference_views/00123.png,4020219.49,507647.91,4909485.89,47.7,0.0,0.0,0.0
reference_views/00124.png,4020203.26,507609.69,4909503.61,47.7,0.0,0.0,0.0
reference_views/00125.png,4020186.73,507571.32,4909520.99,47.7,0.0,0.0,0.0
reference_views/00126.png,4020170.02,507532.86,4909538.32,47.7,0.0,0.0,0.0
reference_views/00127.png,4020153.31,507494.49,4909555.9,47.7,0.0,0.0,0.0
reference_views/00128.png,4020136.62,507456.4,4909574.15,47.7,0.0,0.0,0.0
reference_views/00129.png,4020119.42,507418.66,4909592.71,47.7,0.0,0.0,0.0
reference_views/00130.png,4020101.4,507381.02,4909610.98,47.7,0.0,0.0,0.0
reference_views/00131.png,4020083.43,507343.58,4909629.78,47.7,0.0,0.0,0.0
reference_views/00132.png,4020065.22,507306.52,4909649.02,47.7,0.0,0.0,0.0
reference_views/00133.png,4020046.2,507270.26,4909668.93,47.7,0.0,0.0,0.0
reference_views/00134.png,4020026.25,507234.63,4909689.2,47.7,0.0,0.0,0.0
reference_views/00135.png,4020006.24,507199.43,4909710.17,47.7,0.0,0.0,0.0
reference_views/00136.png,4019986.59,507164.57,4909731.58,47.7,0.0,0.0,0.0
reference_views/00137.png,4019967.25,507130.32,4909753.59,47.7,0.0,0.0,0.0
reference_views/00138.png,4019947.49,507096.94,4909776.02,47.7,0.0,0.0,0.0
reference_views/00139.png,4019926.58,507064.34,4909798.14,47.7,0.0,0.0,0.0
reference_views/00140.png,4019904.4,507032.68,4909820.09,47.7,0.0,0.0,0.0
reference_views/00141.png,4019881.21,507001.7,4909842.11,47.7,0.0,0.0,0.0
reference_views/00142.png,4019857.4,506971.73,4909864.97,47.7,0.0,0.0,0.0
reference_views/00143.png,4019831.66,506941.75,4909889.17,47.7,0.0,0.0,0.0
reference_views/00144.png,4019806.88,506914.0,4909913.67,47.7,0.0,0.0,0.0
reference_views/00145.png,4019782.25,506886.85,4909939.0,47.7,0.0,0.0,0.0
reference_views/00146.png,4019757.24,506860.14,4909964.29,47.7,0.0,0.0,0.0
reference_views/00147.png,4019731.36,506833.54,4909988.81,47.7,0.0,0.0,0.0
reference_views/00148.png,4019705.42,506806.89,4910013.36,47.7,0.0,0.0,0.0
reference_views/00149.png,4019679.51,506780.03,4910037.88,47.7,0.0,0.0,0.0
reference_views/00150.png,4019653.98,506752.86,4910062.6,47.7,0.0,0.0,0.0
reference_views/00151.png,4019628.5,506725.61,4910086.9,47.7,0.0,0.0,0.0
reference_views/00152.png,4019603.06,506698.9,4910111.77,47.7,0.0,0.0,0.0
reference_views/00153.png,4019577.5,506673.2,4910137.34,47.7,0.0,0.0,0.0
reference_views/00154.png,4019550.96,506648.26,4910162.67,47.7,0.0,0.0,0.0
reference_views/00155.png,4019524.3,506623.9,4910188.53,47.7,0.0,0.0,0.0
reference_views/00156.png,4019498.16,506600.22,4910215.46,47.7,0.0,0.0,0.0
reference_views/00157.png,4019471.25,506576.57,4910241.64,47.7,0.0,0.0,0.0
reference_views/00158.png,4019443.08,506552.96,4910266.52,47.7,0.0,0.0,0.0
reference_views/00159.png,4019413.22,506529.06,4910289.91,47.7,0.0,0.0,0.0
reference_views/00160.png,4019383.54,506504.91,4910314.01,47.7,0.0,0.0,0.0
reference_views/00161.png,4019354.14,506480.57,4910338.6,47.7,0.0,0.0,0.0
reference_views/00162.png,4019325.33,506456.41,4910363.95,47.7,0.0,0.0,0.0
reference_views/00163.png,4019296.05,506432.77,4910389.64,47.7,0.0,0.0,0.0
reference_views/00164.png,4019266.43,506409.02,4910415.2,47.7,0.0,0.0,0.0
reference_views/00165.png,4019236.82,506385.17,4910441.17,47.7,0.0,0.0,0.0
reference_views/00166.png,4019207.55,506361.18,4910467.5,47.6,0.0,0.0,0.0
reference_views/00167.png,4019178.51,506337.27,4910494.05,47.6,0.0,0.0,0.0
reference_views/00168.png,4019149.26,506313.37,4910520.42,47.6,0.0,0.0,0.0
reference_views/00169.png,4019119.59,506289.28,4910546.29,47.6,0.0,0.0,0.0
reference_views/00170.png,4019090.1,506265.14,4910572.31,47.6,0.0,0.0,0.0
reference_views/00171.png,4019060.39,506240.76,4910597.96,47.6,0.0,0.0,0.0
reference_views/00172.png,4019030.88,506216.08,4910623.44,47.6,0.0,0.0,0.0
reference_views/00173.png,4019001.28,506191.2,4910648.79,47.6,0.0,0.0,0.0
reference_views/00174.png,4018971.85,506166.45,4910674.63,47.6,0.0,0.0,0.0
reference_views/00175.png,4018942.21,506141.66,4910700.33,47.6,0.0,0.0,0.0
reference_views/00176.png,4018912.5,506116.64,4910725.93,47.6,0.0,0.0,0.0
reference_views/00177.png,4018882.84,506091.39,4910751.6,47.6,0.0,0.0,0.0
reference_views/00178.png,4018853.6,506066.03,4910777.58,47.6,0.0,0.0,0.0
reference_views/00179.png,4018824.99,506040.59,4910804.1,47.6,0.0,0.0,0.0
reference_views/00180.png,4018796.38,506014.9,4910830.25,47.6,0.0,0.0,0.0
reference_views/00181.png,4018767.86,505988.69,4910856.07,47.6,0.0,0.0,0.0
reference_views/00182.png,4018739.59,505962.37,4910881.97,47.6,0.0,0.0,0.0
reference_views/00183.png,4018710.89,505936.32,4910907.51,47.6,0.0,0.0,0.0
reference_views/00184.png,4018681.83,505910.54,4910933.31,47.6,0.0,0.0,0.0
reference_views/00185.png,4018653.27,505885.19,4910960.16,47.6,0.0,0.0,0.0
reference_views/00186.png,4018624.7,505860.01,4910987.13,47.6,0.0,0.0,0.0
reference_views/00187.png,4018596.08,505834.61,4911013.9,47.6,0.0,0.0,0.0
reference_views/00188.png,4018567.59,505809.28,4911040.83,47.6,0.0,0.0,0.0
reference_views/00189.png,4018538.5,505784.14,4911067.46,47.6,0.0,0.0,0.0
reference_views/00190.png,4018509.24,505758.7,4911093.57,47.6,0.0,0.0,0.0
reference_views/00191.png,4018479.83,505733.1,4911119.23,47.6,0.0,0.0,0.0
reference_views/00192.png,4018449.94,505707.54,4911144.61,47.6,0.0,0.0,0.0
reference_views/00193.png,4018419.5,505681.88,4911169.83,47.6,0.0,0.0,0.0
reference_views/00194.png,4018389.14,505656.07,4911195.41,47.6,0.0,0.0,0.0
reference_views/00195.png,4018358.72,505630.15,4911221.36,47.6,0.0,0.0,0.0
reference_views/00196.png,4018328.11,505603.85,4911247.13,47.6,0.0,0.0,0.0
reference_views/00197.png,4018297.32,505577.33,4911273.03,47.6,0.0,0.0,0.0
reference_views/00198.png,4018266.62,505550.64,4911299.4,47.6,0.0,0.0,0.0
reference_views/00199.png,4018236.34,505524.12,4911326.38,47.6,0.0,0.0,0.0

